2023-11-15 00:09:42.850 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-15 00:09:42.850 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1673 ms
2023-11-15 00:09:43.454 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@3386598d, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@44a806a1, org.springframework.security.web.context.SecurityContextPersistenceFilter@4a876cd3, org.springframework.security.web.header.HeaderWriterFilter@66323ac3, org.springframework.security.web.authentication.logout.LogoutFilter@3000947a, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@cdf60dc, org.springframework.security.web.session.ConcurrentSessionFilter@362e9295, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@294349d1, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@73f292ef, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2e0a576c, org.springframework.security.web.session.SessionManagementFilter@36aac80f, org.springframework.security.web.access.ExceptionTranslationFilter@75955ff0, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@6d8e1129]
2023-11-15 00:09:43.638 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-15 00:09:43.879 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-15 00:09:43.895 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-15 00:09:43.919 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-15 00:09:43.935 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 3.449 seconds (JVM running for 5.391)
2023-11-15 00:09:50.104 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-15 00:09:50.104 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-15 00:09:50.104 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-15 00:09:50.172 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-15 00:09:50.261 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-15 00:11:12.345 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-15 00:11:12.348 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-15 00:11:18.064 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-15 00:11:18.073 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on LAPTOP-1IFFF28K with PID 36824 (C:\kuyejin\workspace\team_pro5\team25\build\classes\java\main started by kooyj in C:\kuyejin\workspace\team_pro5\team25)
2023-11-15 00:11:18.074 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-15 00:11:18.387 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-15 00:11:18.387 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-15 00:11:19.873 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-15 00:11:19.880 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-15 00:11:19.882 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-15 00:11:19.882 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-15 00:11:20.062 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-15 00:11:20.062 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1675 ms
2023-11-15 00:11:20.554 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@77df4be6, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7b245f2b, org.springframework.security.web.context.SecurityContextPersistenceFilter@29f37941, org.springframework.security.web.header.HeaderWriterFilter@5d57ad7d, org.springframework.security.web.authentication.logout.LogoutFilter@5fdf1933, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@655d254b, org.springframework.security.web.session.ConcurrentSessionFilter@358a8382, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3ee9cda, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@22f21481, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@52734318, org.springframework.security.web.session.SessionManagementFilter@5c88de66, org.springframework.security.web.access.ExceptionTranslationFilter@2e6d3b92, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@34d8a364]
2023-11-15 00:11:20.799 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-15 00:11:21.058 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-15 00:11:21.078 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-15 00:11:21.103 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-15 00:11:21.114 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 3.536 seconds (JVM running for 5.077)
2023-11-15 00:11:21.230 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-15 00:11:21.230 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-15 00:11:21.231 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2023-11-15 00:11:21.290 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-15 00:11:21.380 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-15 00:11:42.011 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-15 00:11:42.015 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-15 00:11:48.698 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-15 00:11:48.706 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on LAPTOP-1IFFF28K with PID 16708 (C:\kuyejin\workspace\team_pro5\team25\build\classes\java\main started by kooyj in C:\kuyejin\workspace\team_pro5\team25)
2023-11-15 00:11:48.706 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-15 00:11:48.995 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-15 00:11:48.995 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-15 00:11:50.432 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-15 00:11:50.441 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-15 00:11:50.444 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-15 00:11:50.444 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-15 00:11:50.577 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-15 00:11:50.577 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1581 ms
2023-11-15 00:11:51.069 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2e03bd24, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7b3fe050, org.springframework.security.web.context.SecurityContextPersistenceFilter@69319f76, org.springframework.security.web.header.HeaderWriterFilter@46bdf8b, org.springframework.security.web.authentication.logout.LogoutFilter@1d1ec96b, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@7da51985, org.springframework.security.web.session.ConcurrentSessionFilter@40ee16a3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2aadbb10, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@1642312d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@131a1105, org.springframework.security.web.session.SessionManagementFilter@30965f4d, org.springframework.security.web.access.ExceptionTranslationFilter@68eeabae, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7d342f51]
2023-11-15 00:11:51.249 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-15 00:11:51.492 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-15 00:11:51.507 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-15 00:11:51.530 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-15 00:11:51.541 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 3.209 seconds (JVM running for 4.655)
2023-11-15 00:12:28.972 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-15 00:12:28.976 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on LAPTOP-1IFFF28K with PID 27396 (C:\kuyejin\workspace\team_pro5\team25\build\classes\java\main started by kooyj in C:\kuyejin\workspace\team_pro5\team25)
2023-11-15 00:12:28.978 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
2023-11-15 00:12:29.255 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-11-15 00:12:29.255 INFO  [restartedMain] [o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-11-15 00:12:30.569 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-15 00:12:30.584 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-15 00:12:30.586 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-15 00:12:30.587 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-15 00:12:30.739 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-15 00:12:30.739 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 1484 ms
2023-11-15 00:12:31.223 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@69274a00, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@1986977, org.springframework.security.web.context.SecurityContextPersistenceFilter@359bb1fe, org.springframework.security.web.header.HeaderWriterFilter@4358984c, org.springframework.security.web.authentication.logout.LogoutFilter@29f37941, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1d9eb93a, org.springframework.security.web.session.ConcurrentSessionFilter@1344aa59, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1df4f4b0, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@427e7ebe, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2fbbf7e4, org.springframework.security.web.session.SessionManagementFilter@5a9d2b45, org.springframework.security.web.access.ExceptionTranslationFilter@a5c762c, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@34742173]
2023-11-15 00:12:31.400 INFO  [restartedMain] [o.s.b.a.w.s.WelcomePageHandlerMapping] - Adding welcome page template: index
2023-11-15 00:12:31.640 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-15 00:12:31.663 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-15 00:12:31.689 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-15 00:12:31.702 INFO  [restartedMain] [com.shop.ShopApplication] - Started ShopApplication in 3.148 seconds (JVM running for 4.379)
2023-11-15 00:12:31.898 INFO  [http-nio-8085-exec-1] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-11-15 00:12:31.898 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2023-11-15 00:12:31.899 INFO  [http-nio-8085-exec-1] [o.s.web.servlet.DispatcherServlet] - Completed initialization in 0 ms
2023-11-15 00:12:31.960 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Starting...
2023-11-15 00:12:32.050 INFO  [http-nio-8085-exec-1] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Start completed.
2023-11-15 00:13:36.323 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown initiated...
2023-11-15 00:13:36.326 INFO  [SpringApplicationShutdownHook] [com.zaxxer.hikari.HikariDataSource] - HikariPool-1 - Shutdown completed.
2023-11-15 00:13:42.158 INFO  [background-preinit] [o.h.validator.internal.util.Version] - HV000001: Hibernate Validator 6.2.5.Final
2023-11-15 00:13:42.161 INFO  [restartedMain] [com.shop.ShopApplication] - Starting ShopApplication using Java 17.0.7 on LAPTOP-1IFFF28K with PID 29556 (C:\kuyejin\workspace\team_pro5\team25\build\classes\java\main started by kooyj in C:\kuyejin\workspace\team_pro5\team25)
2023-11-15 00:13:42.162 INFO  [restartedMain] [com.shop.ShopApplication] - No active profile set, falling back to 1 default profile: "default"
